date	Sad	Fear	Happy
20111001	6	0	1
20111002	0	0	3
20111003	0	0	14
20111004	0	0	8
20111005	0	1	5
20111006	0	0	4
20111007	0	0	8
20111008	0	0	25
20111009	0	0	7
20111010	0	0	11
20111011	6	1	0
20111012	8	6	2
20111013	0	0	4
20111014	13	0	9
20111015	10	0	8
20111016	19	0	10
20111017	0	0	12
20111018	1	0	4
20111019	0	0	10
20111020	1	0	12
20111021	0	0	5
20111022	0	5	0
20111023	1	2	0
20111024	20	0	10
20111025	2	0	13
20111026	1	0	7
20111027	2	0	6
20111028	0	0	10
20111029	0	2	14
20111030	0	1	11
20111031	1	9	0
20111032	0	4	2
20111033	13	3	0
20111034	12	1	0
20111035	7	4	0
20111036	0	7	0
20111037	3	7	4
20111038	5	9	2
20111039	0	16	2
20111040	6	0	0
20111041	6	13	0
20111042	15	7	0
20111043	0	8	7
20111044	0	21	0
20111045	9	20	0
20111046	18	3	0
20111047	6	5	0
20111048	2	12	0
20111049	13	10	0
20111050	0	12	0
20111051	6	16	0
20111052	6	11	1
20111053	22	1	15
20111054	14	0	0
20111055	12	0	0
20111056	5	0	15
20111057	0	0	31
